IMAGEM,VP,VN,FP,FN,Acurácia,Sobreposição,Sensibilidade,Especificidade  
otsu_400_cinza_Im068,41494,84271,15178,19057,78.60,54.79,68.53,84.74
otsu_800_rgb_Im067,189794,368487,18323,63396,87.23,69.90,74.96,95.26
otsu_400_rgb_Im081,47632,97087,1742,13539,90.45,75.71,77.87,98.24
otsu_400_cinza_Im082,39834,75396,38097,6673,72.02,47.08,85.65,66.43
otsu_400_rgb_Im066,43841,90691,4543,20925,84.08,63.25,67.69,95.23
otsu_800_cinza_Im040,115707,489391,2439,32463,94.55,76.83,78.09,99.50
otsu_400_cinza_Im063,27680,117190,5301,9829,90.54,64.66,73.80,95.67
otsu_400_cinza_Im078,37710,76398,36994,8898,71.32,45.11,80.91,67.38
otsu_400_rgb_Im022,36646,108659,5854,8841,90.82,71.38,80.56,94.89
otsu_800_rgb_Im076,140200,324375,116324,59101,72.59,44.42,70.35,73.60
otsu_400_cinza_Im008,46369,99002,5685,8944,90.86,76.02,83.83,94.57
otsu_800_rgb_Im047,140412,395494,40483,63611,83.74,57.43,68.82,90.71
otsu_400_cinza_Im071,34301,103767,6223,15709,86.29,61.00,68.59,94.34
otsu_800_cinza_Im067,189869,368507,18303,63321,87.25,69.94,74.99,95.27
otsu_800_rgb_Im019,167776,417780,13000,41444,91.49,75.50,80.19,96.98
otsu_400_rgb_Im026,40254,81873,20936,16937,76.33,51.52,70.39,79.64
otsu_400_rgb_Im028,46489,99753,1204,12554,91.40,77.16,78.74,98.81
otsu_400_rgb_Im032,17777,103722,23219,15282,75.94,31.59,53.77,81.71
otsu_800_rgb_Im068,165982,337065,60724,76229,78.60,54.79,68.53,84.73
otsu_400_cinza_Im057,29844,109969,9035,11152,87.38,59.65,72.80,92.41
otsu_400_rgb_Im011,31060,110561,11507,6872,88.51,62.82,81.88,90.57
otsu_800_rgb_Im032,71111,414760,93006,61123,75.92,31.57,53.78,81.68
otsu_400_cinza_Im086,38736,96959,3411,20894,84.81,61.45,64.96,96.60
otsu_400_rgb_Im027,39029,92708,7082,21181,82.34,58.00,64.82,92.90
otsu_400_cinza_Im067,47476,92114,4571,15839,87.24,69.93,74.98,95.27
otsu_800_rgb_Im001,74085,456969,4647,104299,82.98,40.48,41.53,98.99
otsu_800_rgb_Im015,114063,473984,2282,49671,91.88,68.71,69.66,99.52
otsu_800_cinza_Im046,151148,432825,15370,40657,91.25,72.96,78.80,96.57
otsu_800_cinza_Im086,154932,387801,13480,83787,84.80,61.43,64.90,96.64
otsu_800_cinza_Im023,150925,426488,24775,37812,90.22,70.69,79.97,94.51
otsu_400_rgb_Im019,41933,104460,3261,10346,91.50,75.50,80.21,96.97
otsu_800_cinza_Im066,175484,362765,18252,83499,84.10,63.30,67.76,95.21
otsu_400_rgb_Im068,41487,84264,15185,19064,78.59,54.78,68.52,84.73
otsu_800_cinza_Im079,168004,390048,39251,42697,87.20,67.21,79.74,90.86
otsu_400_rgb_Im078,37700,76418,36974,8908,71.32,45.11,80.89,67.39
otsu_800_cinza_Im022,146484,434720,23329,35467,90.81,71.36,80.51,94.91
otsu_400_cinza_Im032,17785,103717,23224,15274,75.94,31.60,53.80,81.70
otsu_800_cinza_Im052,178912,386910,7319,66859,88.41,70.69,72.80,98.14
otsu_800_cinza_Im024,98371,433438,11345,96846,83.10,47.62,50.39,97.45
otsu_400_rgb_Im037,36446,110169,1558,11827,91.63,73.14,75.50,98.61
otsu_800_cinza_Im080,186386,395988,6780,50846,91.00,76.38,78.57,98.32
otsu_400_cinza_Im083,39604,89700,8582,22114,80.81,56.34,64.17,91.27
otsu_400_cinza_Im004,49169,95801,2248,12782,90.61,76.59,79.37,97.71
otsu_800_cinza_Im076,140254,324173,116526,59047,72.57,44.41,70.37,73.56
